nr     Dose	weight	sex Kombination	Kombination1
1	0	6.62	m	1	1
2	0	6.65	m	1	1
3	0	5.78	m	1	1
4	0	5.63	m	1	1
5	0	6.05	m	1	1
6	0	6.48	m	1	1
7	0	5.5	m	1	1
8	0	5.37	m	1	1
9	1	6.25	m	3	2
10	1	6.95	m	3	2
11	1	5.61	m	3	2
12	1	5.4	m	3	2
13	1	6.89	m	3	2
14	1	6.24	m	3	2
15	1	5.85	m	3	2
16	2	7.11	m	5	3
17	2	5.68	m	5	3
18	2	6.23	m	5	3
19	2	7.11	m	5	3
20	2	5.55	m	5	3
21	2	5.9	m	5	3
22	2	5.98	m	5	3
23	2	7.74	m	5	3
24	3	6.93	m	7	4
25	3	7.17	m	7	4
26	3	7.12	m	7	4
27	3	6.43	m	7	4
28	3	6.96	m	7	4
29	3	7.08	m	7	4
30	3	7.93	m	7	4
31	4	7.26	m	9	5
32	4	6.45	m	9	5
33	4	6.37	m	9	5
34	4	6.54	m	9	5
35	4	6.93	m	9	5
36	4	6.4	m	9	5
37	4	7.01	m	9	5
38	4	7.14	m	9	5
39	4	7.63	m	9	5
40	4	7.62	m	9	5
41	4	7.38	m	9	5
42	0	7.11	w	2	6
43	0	7.08	w	2	6
44	0	5.95	w	2	6
45	0	7.36	w	2	6
46	0	7.58	w	2	6
47	0	7.39	w	2	6
48	0	8.25	w	2	6
49	0	6.95	w	2	6
50	1	6.23	w	4	7
51	1	7.93	w	4	7
52	1	7.59	w	4	7
53	1	7.14	w	4	7
54	1	8.03	w	4	7
55	1	7.31	w	4	7
56	1	6.91	w	4	7
57	1	7.52	w	4	7
58	1	7.32	w	4	7
59	2	7.4	w	6	8
60	2	6.51	w	6	8
61	2	6.85	w	6	8
62	2	7.17	w	6	8
63	2	6.76	w	6	8
64	2	7.69	w	6	8
65	2	8.18	w	6	8
66	2	7.05	w	6	8
67	2	8.75	w	6	8
68	2	7.53	w	6	8
69	3	6.65	w	8	9
70	3	8.11	w	8	9
71	3	7.37	w	8	9
72	3	8.43	w	8	9
73	3	8.21	w	8	9
74	3	7.14	w	8	9
75	3	8.25	w	8	9
76	4	9.26	w	10	10
77	4	8.62	w	10	10
78	4	7.72	w	10	10
79	4	8.54	w	10	10
80	4	7.88	w	10	10
81	4	8.44	w	10	10
82	4	8.02	w	10	10
83	4	7.72	w	10	10
84	4	8.27	w	10	10
85	4	7.91	w	10	10
86	4	8.31	w	10	10

